currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
BTC,ZEC,RSI_BULL_BEAR,0.00,10.83,0.00,-10.83,1.24,47.27,3.85,1,-7.92,-1.23,915,10,73,89,22,768250893,0.01481003,0.01320669,0.01254318,0.01548758,0.01385532,3.8,2184,601226980,682,2019-01-17 20:54:00,2019-04-17 07:12:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,ETC,RSI_BULL_BEAR,0.00,-0.57,0.00,0.57,1.28,38.98,10.68,1.16,-9.66,-0.86,1031,10,73,92,19,994852298,0.001184,0.00119079,0.00101967,0.00155799,0.00115855,5.3,14619,980345881,708,2019-01-15 02:32:00,2019-04-17 07:34:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,XMR,RSI_BULL_BEAR,0.00,13.54,0.00,-13.54,1.15,44.19,3.07,1.25,-5.55,-1.24,1131,10,73,150,13,1951704831,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,141196647,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,XRP,RSI_BULL_BEAR,0.00,44.76,0.00,-44.76,0.82,46.67,10.65,1.63,-8.25,-1.61,1057,10,73,146,3,19447187278,0.000090,0.000050,0.000040,0.000096,0.000069,21.3,3871551,2065617693,9246,2019-01-17 20:47:00,2019-06-13 02:51:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,ETH,RSI_BULL_BEAR,0.00,14.81,0.00,-14.81,1.20,56.99,3.81,0.88,-6.52,-1.03,1014,10,73,155,2,32999351099,0.03353995,0.02857337,0.02451137,0.039597,0.03232561,7.3,10186,9830818616,7145,2019-01-17 20:47:00,2019-06-22 08:54:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,ZEC,RSI,0.00,10.83,0.00,-10.83,1.07,55.32,3.12,0.85,-3.54,-0.78,1235,10,73,89,22,768250893,0.01481003,0.01320669,0.01254318,0.01548758,0.01385532,3.8,2184,601226980,682,2019-01-17 20:54:00,2019-04-17 07:12:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,ETC,RSI,0.00,-0.57,0.00,0.57,1.04,63.83,3.92,1.17,-3.99,-1.18,1336,10,73,92,19,994852298,0.001184,0.00119079,0.00101967,0.00155799,0.00115855,5.3,14619,980345881,708,2019-01-15 02:32:00,2019-04-17 07:34:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,DASH,RSI_BULL_BEAR,0.00,-16.57,0.00,16.57,1.12,58.00,8.83,1.6,-5.98,-2.45,1328,10,73,89,15,1577035296,0.01962004,0.02287159,0.01904507,0.0289999,0.02199960,9.2,2195,424743435,2539,2019-01-17 20:48:00,2019-04-17 07:38:00,BEAR_RSI = 15 BEAR_RSI_high = 50 BEAR_RSI_low = 20 BULL_RSI = 10 BULL_RSI_high = 80 BULL_RSI_low = 60 SMA_long = 1000 SMA_short = 50,first run
BTC,XMR,RSI,0.00,13.54,0.00,-13.54,1.04,67.95,3.52,1.09,-5.46,-1.51,1333,10,73,150,13,1951704831,0.012373,0.0106972,0.0101,0.01475999,0.01228631,7.7,8512,141196647,3813,2019-01-17 20:47:00,2019-06-17 06:56:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
BTC,XRP,RSI,0.00,44.76,0.00,-44.76,0.82,48.33,18.41,1.07,-9.52,-1.16,1897,10,73,146,3,19447187278,0.000090,0.000050,0.000040,0.000096,0.000069,21.3,3871551,2065617693,9246,2019-01-17 20:47:00,2019-06-13 02:51:00,interval = 14 [thresholds] high = 70 low = 30 persistence = 1,first run
